                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2906,                 4.8772,                 1.5621,                0.01586,                0.04286,                 0.0153,                0.00508,                 1.9152,                 4.4563,                 1.5602,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 2.0686,                 2.9468,                 1.3996,                0.64583,                0.49873,                0.51046,                0.25252,                 1.6579,                 3.4189,                 1.3792,             0.00016005,             0.00016005,             0.00016005
                      3,                 1.9015,                 1.8174,                 1.2655,                0.48317,                0.51521,                0.49702,                0.26458,                 1.5912,                  3.913,                 1.3241,             0.00023529,             0.00023529,             0.00023529
                      4,                 1.7467,                 1.4683,                 1.2033,                0.50269,                0.77814,                0.63137,                0.35825,                  1.528,                 3.2784,                 1.2748,             0.00030349,             0.00030349,             0.00030349
                      5,                 1.6287,                 1.3472,                 1.1643,                0.61678,                 0.7076,                0.63466,                0.35471,                 1.5096,                 3.0925,                 1.2623,             0.00036466,             0.00036466,             0.00036466
                      6,                  1.649,                 1.2353,                 1.1318,                 0.7715,                0.69366,                0.71478,                0.39255,                 1.4866,                 1.5413,                 1.2413,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.6239,                 1.2181,                   1.14,                0.71702,                0.75943,                0.73591,                0.41423,                 1.4508,                 1.4475,                 1.2521,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.6048,                 1.1376,                 1.1271,                0.63374,                0.73904,                0.73238,                0.43696,                 1.4597,                  1.603,                 1.2308,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.5914,                 1.1183,                 1.1466,                0.61776,                0.69878,                0.65591,                0.37188,                 1.4658,                 1.6987,                 1.2535,             0.00053891,             0.00053891,             0.00053891
                     10,                  1.491,                 1.0634,                 1.0951,                0.71334,                0.68218,                0.68152,                 0.3547,                 1.4726,                 1.6422,                  1.244,             0.00056488,             0.00056488,             0.00056488
                     11,                  1.514,                 1.0358,                  1.093,                0.76071,                 0.6135,                0.63453,                0.34709,                 1.5371,                 1.5664,                 1.2756,             0.00058381,             0.00058381,             0.00058381
                     12,                 1.4924,                 1.0019,                 1.0956,                0.72354,                0.70266,                0.73543,                0.40331,                 1.5028,                 1.3083,                 1.2692,              0.0005957,              0.0005957,              0.0005957
                     13,                 1.4786,                0.96874,                 1.0813,                0.76457,                0.69867,                 0.7558,                 0.4391,                  1.484,                 1.3009,                 1.2572,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.4596,                0.90779,                 1.0586,                0.82457,                  0.662,                0.74399,                0.39749,                 1.5187,                 1.2257,                 1.2885,             0.00053906,             0.00053906,             0.00053906
                     15,                 1.4738,                0.89493,                 1.0729,                0.75291,                0.74878,                0.76866,                0.43282,                 1.5127,                 1.3139,                 1.2756,             0.00049506,             0.00049506,             0.00049506
                     16,                 1.4328,                0.96082,                 1.0553,                0.67794,                0.69249,                0.73517,                0.43172,                 1.5433,                 1.3605,                 1.2917,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.3835,                0.92606,                   1.05,                0.85044,                0.73842,                0.77778,                0.43709,                 1.5719,                 1.2338,                 1.3116,             0.00040707,             0.00040707,             0.00040707
                     18,                 1.3591,                0.86641,                 1.0391,                0.88011,                0.75768,                0.83045,                0.46342,                 1.5495,                 1.2111,                 1.3066,             0.00036307,             0.00036307,             0.00036307
                     19,                 1.2968,                0.83857,                  1.024,                0.83115,                0.75287,                0.83236,                0.48902,                 1.5101,                 1.0847,                 1.2861,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.3035,                0.79488,                 1.0086,                0.83928,                0.80684,                0.84888,                0.48799,                 1.4875,                 1.0337,                 1.2634,             0.00027508,             0.00027508,             0.00027508
                     21,                 1.2996,                0.78391,                 1.0158,                0.84818,                0.81478,                 0.8485,                0.46747,                 1.5246,                 1.0469,                 1.2724,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.2623,                0.75918,                0.99237,                0.82565,                 0.7926,                0.84129,                0.46112,                 1.5502,                 1.0516,                 1.2859,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.2197,                0.73796,                0.99443,                0.79993,                0.76851,                0.81947,                0.46055,                 1.5435,                 1.0539,                 1.2832,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.2662,                0.72093,                 1.0177,                0.82029,                0.76342,                 0.8201,                 0.4618,                 1.5201,                 1.0466,                 1.2645,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                 1.2393,                0.70621,                0.99898,                0.82376,                0.76393,                0.81949,                0.46741,                 1.5122,                 1.0416,                 1.2622,             5.5106e-05,             5.5106e-05,             5.5106e-05
